ts_code,symbol,name,area,industry,list_date
000338.SZ,000338,潍柴动力,山东,汽车配件,20070430
000400.SZ,000400,许继电气,河南,电气设备,19970418
000401.SZ,000401,冀东水泥,河北,水泥,19960614
000402.SZ,000402,金融街,北京,全国地产,19960626
000403.SZ,000403,派林生物,山西,生物制药,19960628
000404.SZ,000404,长虹华意,江西,家用电器,19960619
000407.SZ,000407,胜利股份,山东,供气供热,19960703
000408.SZ,000408,藏格矿业,青海,农药化肥,19960628
000409.SZ,000409,云鼎科技,山东,软件服务,19960627
000410.SZ,000410,沈阳机床,辽宁,机床制造,19960718
000411.SZ,000411,英特集团,浙江,医药商业,19960716
000415.SZ,000415,渤海租赁,新疆,多元金融,19960716
000417.SZ,000417,合百集团,安徽,百货,19960812
000419.SZ,000419,通程控股,湖南,百货,19960816
000420.SZ,000420,吉林化纤,吉林,化纤,19960802
000421.SZ,000421,南京公用,江苏,供气供热,19960806
000422.SZ,000422,湖北宜化,湖北,农药化肥,19960815
000423.SZ,000423,东阿阿胶,山东,中成药,19960729
000425.SZ,000425,徐工机械,江苏,工程机械,19960828
000426.SZ,000426,兴业银锡,内蒙,铅锌,19960828
000428.SZ,000428,华天酒店,湖南,酒店餐饮,19960808
000429.SZ,000429,粤高速A,广东,路桥,19980220
000430.SZ,000430,张家界,湖南,旅游景点,19960829
000488.SZ,000488,晨鸣纸业,山东,造纸,20001120
000498.SZ,000498,山东路桥,山东,建筑工程,19970609
000501.SZ,000501,武商集团,湖北,百货,19921120
000503.SZ,000503,国新健康,山东,软件服务,19921130
000504.SZ,000504,南华生物,湖南,医疗保健,19921208
000505.SZ,000505,京粮控股,海南,食品,19921221
000506.SZ,000506,*ST中润,山东,黄金,19930312
000507.SZ,000507,珠海港,广东,港口,19930326
000509.SZ,000509,华塑控股,四川,元器件,19930507
000510.SZ,000510,新金路,四川,化工原料,19930507
000513.SZ,000513,丽珠集团,广东,化学制药,19931028
000514.SZ,000514,渝开发,重庆,区域地产,19930712
000516.SZ,000516,国际医学,陕西,医疗保健,19930809
000517.SZ,000517,荣安地产,浙江,区域地产,19930806
000518.SZ,000518,四环生物,江苏,生物制药,19930908
000519.SZ,000519,中兵红箭,湖南,专用机械,19931008
000520.SZ,000520,凤凰航运,湖北,水运,19931025
000521.SZ,000521,长虹美菱,安徽,家用电器,19931018
000523.SZ,000523,红棉股份,广东,食品,19931108
000524.SZ,000524,岭南控股,广东,旅游服务,19931118
000525.SZ,000525,ST红太阳,江苏,农药化肥,19931028
000526.SZ,000526,学大教育,福建,文教休闲,19931101
000528.SZ,000528,柳工,广西,工程机械,19931118
000529.SZ,000529,广弘控股,广东,食品,19931118
000530.SZ,000530,冰山冷热,辽宁,机械基件,19931208
000531.SZ,000531,穗恒运A,广东,火力发电,19940106
000532.SZ,000532,华金资本,广东,多元金融,19940103
000533.SZ,000533,顺钠股份,广东,电气设备,19940103
000534.SZ,000534,万泽股份,广东,生物制药,19940110
000536.SZ,000536,华映科技,福建,元器件,19931126
000537.SZ,000537,中绿电,天津,新型电力,19931210
000538.SZ,000538,云南白药,云南,中成药,19931215
000539.SZ,000539,粤电力A,广东,火力发电,19931126
000541.SZ,000541,佛山照明,广东,家用电器,19931123
000543.SZ,000543,皖能电力,安徽,火力发电,19931220
000544.SZ,000544,中原环保,河南,环境保护,19931208
000545.SZ,000545,金浦钛业,吉林,化工原料,19931215
000546.SZ,000546,金圆股份,吉林,环境保护,19931215
000547.SZ,000547,航天发展,福建,通信设备,19931130
000548.SZ,000548,湖南投资,湖南,路桥,19931220
000550.SZ,000550,江铃汽车,江西,汽车整车,19931201
000551.SZ,000551,创元科技,江苏,专用机械,19940106
000552.SZ,000552,甘肃能化,甘肃,煤炭开采,19940106
000553.SZ,000553,安道麦A,湖北,农药化肥,19931203
000554.SZ,000554,泰山石油,山东,石油贸易,19931215
000555.SZ,000555,神州信息,深圳,软件服务,19940408
000557.SZ,000557,西部创业,宁夏,铁路,19940617
000558.SZ,000558,莱茵体育,四川,旅游景点,19940509
000559.SZ,000559,万向钱潮,浙江,汽车配件,19940110
000560.SZ,000560,我爱我家,云南,房产服务,19940202
000561.SZ,000561,烽火电子,陕西,通信设备,19940509
000563.SZ,000563,陕国投A,陕西,多元金融,19940110
000564.SZ,000564,供销大集,陕西,百货,19940110
000565.SZ,000565,渝三峡A,重庆,染料涂料,19940408
000566.SZ,000566,海南海药,海南,化学制药,19940525
000567.SZ,000567,海德股份,海南,多元金融,19940525
000568.SZ,000568,泸州老窖,四川,白酒,19940509
000570.SZ,000570,苏常柴A,江苏,农用机械,19940701
000571.SZ,000571,新大洲A,海南,煤炭开采,19940525
000572.SZ,000572,海马汽车,海南,汽车整车,19940808
000573.SZ,000573,粤宏远A,广东,电气设备,19940815
000576.SZ,000576,甘化科工,广东,电气设备,19940907
000581.SZ,000581,威孚高科,江苏,汽车配件,19980924
000582.SZ,000582,北部湾港,广西,港口,19951102
000584.SZ,000584,*ST工智,江苏,专用机械,19951128
000586.SZ,000586,汇源通信,四川,通信设备,19951220
000589.SZ,000589,贵州轮胎,贵州,汽车配件,19960308
000590.SZ,000590,启迪药业,湖南,中成药,19960119
000591.SZ,000591,太阳能,重庆,新型电力,19960208
000592.SZ,000592,平潭发展,福建,林业,19960327
000593.SZ,000593,德龙汇能,四川,供气供热,19960312
000595.SZ,000595,宝塔实业,宁夏,机械基件,19960419
000596.SZ,000596,古井贡酒,安徽,白酒,19960927
000597.SZ,000597,东北制药,辽宁,化学制药,19960523
000598.SZ,000598,兴蓉环境,四川,水务,19960529
000599.SZ,000599,青岛双星,山东,汽车配件,19960430
000600.SZ,000600,建投能源,河北,火力发电,19960606
000601.SZ,000601,韶能股份,广东,水力发电,19960830
000603.SZ,000603,盛达资源,北京,铅锌,19960823
000605.SZ,000605,渤海股份,北京,水务,19960913
000607.SZ,000607,华媒控股,浙江,广告包装,19960830
000608.SZ,000608,阳光股份,广西,区域地产,19960919
000609.SZ,000609,*ST中迪,北京,区域地产,19961010
000610.SZ,000610,西安旅游,陕西,旅游服务,19960926
000612.SZ,000612,焦作万方,河南,铝,19960926
000615.SZ,000615,ST美谷,湖北,医疗保健,19961016
000617.SZ,000617,中油资本,新疆,多元金融,19961022
000619.SZ,000619,海螺新材,安徽,其他建材,19961023
000620.SZ,000620,新华联,北京,全国地产,19961029
000622.SZ,000622,*ST恒立,湖南,批发业,19961107
000623.SZ,000623,吉林敖东,吉林,中成药,19961028
000625.SZ,000625,长安汽车,重庆,汽车整车,19970610
000626.SZ,000626,远大控股,江苏,商贸代理,19961128
000627.SZ,000627,天茂集团,湖北,保险,19961112
000628.SZ,000628,高新发展,四川,建筑工程,19961118
000629.SZ,000629,钒钛股份,四川,小金属,19961115
000630.SZ,000630,铜陵有色,安徽,铜,19961120
000631.SZ,000631,顺发恒业,浙江,综合类,19961122
000632.SZ,000632,三木集团,福建,综合类,19961121
000633.SZ,000633,合金投资,新疆,小金属,19961112
000635.SZ,000635,英力特,宁夏,化工原料,19961120
000636.SZ,000636,风华高科,广东,元器件,19961129
000637.SZ,000637,茂化实华,广东,石油加工,19961114
000638.SZ,000638,万方发展,吉林,农业综合,19961126
000639.SZ,000639,西王食品,山东,食品,19961126
000650.SZ,000650,仁和药业,江西,中成药,19961210
000651.SZ,000651,格力电器,广东,家用电器,19961118
000652.SZ,000652,泰达股份,天津,批发业,19961128
000655.SZ,000655,金岭矿业,山东,普钢,19961128
000656.SZ,000656,*ST金科,重庆,全国地产,19961128
000657.SZ,000657,中钨高新,海南,小金属,19961205
000659.SZ,000659,珠海中富,广东,广告包装,19961203
000661.SZ,000661,长春高新,吉林,生物制药,19961218
000663.SZ,000663,永安林业,福建,林业,19961206
000665.SZ,000665,湖北广电,湖北,影视音像,19961210
000668.SZ,000668,荣丰控股,山东,房产服务,19961210
000669.SZ,000669,ST金鸿,吉林,供气供热,19961210
000670.SZ,000670,盈方微,湖北,元器件,19961217
000672.SZ,000672,上峰水泥,甘肃,水泥,19961218
000676.SZ,000676,智度股份,广东,互联网,19961224
000677.SZ,000677,恒天海龙,山东,化纤,19961226
000678.SZ,000678,襄阳轴承,湖北,汽车配件,19970106
000679.SZ,000679,大连友谊,辽宁,百货,19970124
000680.SZ,000680,山推股份,山东,工程机械,19970122
000681.SZ,000681,视觉中国,江苏,互联网,19970121
000682.SZ,000682,东方电子,山东,电气设备,19970121
000683.SZ,000683,远兴能源,内蒙,化工原料,19970131
000685.SZ,000685,中山公用,广东,水务,19970123
000686.SZ,000686,东北证券,吉林,证券,19970227
000688.SZ,000688,国城矿业,四川,铅锌,19970120
000690.SZ,000690,宝新能源,广东,火力发电,19970128
000691.SZ,000691,亚太实业,甘肃,化工原料,19970228
000692.SZ,000692,惠天热电,辽宁,供气供热,19970227
000695.SZ,000695,滨海能源,天津,广告包装,19970218
000697.SZ,000697,炼石航空,陕西,航空,19970325
000698.SZ,000698,沈阳化工,辽宁,石油加工,19970220
000700.SZ,000700,模塑科技,江苏,汽车配件,19970228
000701.SZ,000701,厦门信达,福建,商贸代理,19970226
000702.SZ,000702,正虹科技,湖南,饲料,19970318
000703.SZ,000703,恒逸石化,广西,化纤,19970328
000705.SZ,000705,浙江震元,浙江,医药商业,19970410
000707.SZ,000707,双环科技,湖北,化工原料,19970415
000708.SZ,000708,中信特钢,湖北,特种钢,19970326
000709.SZ,000709,河钢股份,河北,普钢,19970416
000710.SZ,000710,贝瑞基因,四川,医疗保健,19970422
000711.SZ,000711,*ST京蓝,黑龙江,环境保护,19970411
000712.SZ,000712,锦龙股份,广东,证券,19970415
000713.SZ,000713,丰乐种业,安徽,种植业,19970422
000715.SZ,000715,中兴商业,辽宁,百货,19970508
000716.SZ,000716,黑芝麻,广西,食品,19970418
000717.SZ,000717,中南股份,广东,普钢,19970508
000718.SZ,000718,苏宁环球,吉林,区域地产,19970408
000719.SZ,000719,中原传媒,河南,出版业,19970331
000720.SZ,000720,新能泰山,山东,电气设备,19970509
000721.SZ,000721,西安饮食,陕西,酒店餐饮,19970430
000722.SZ,000722,湖南发展,湖南,其他建材,19970522
000723.SZ,000723,美锦能源,山西,焦炭加工,19970515
000725.SZ,000725,京东方A,北京,元器件,20010112
000726.SZ,000726,鲁泰A,山东,纺织,20001225
000727.SZ,000727,冠捷科技,江苏,元器件,19970520
000728.SZ,000728,国元证券,安徽,证券,19970616
000729.SZ,000729,燕京啤酒,北京,啤酒,19970716
000731.SZ,000731,四川美丰,四川,农药化肥,19970617
000733.SZ,000733,振华科技,贵州,元器件,19970703
000735.SZ,000735,罗牛山,海南,农业综合,19970611
000736.SZ,000736,中交地产,重庆,全国地产,19970425
000737.SZ,000737,北方铜业,山西,铜,19970428
000738.SZ,000738,航发控制,江苏,航空,19970626
000739.SZ,000739,普洛药业,浙江,化学制药,19970509
000750.SZ,000750,国海证券,广西,证券,19970709
000751.SZ,000751,锌业股份,辽宁,铅锌,19970626
000752.SZ,000752,ST西发,西藏,啤酒,19970625
000753.SZ,000753,漳州发展,福建,综合类,19970626
000755.SZ,000755,山西高速,山西,路桥,19970627
000756.SZ,000756,新华制药,山东,化学制药,19970806
000757.SZ,000757,浩物股份,四川,汽车服务,19970627
000758.SZ,000758,中色股份,北京,铅锌,19970416
000759.SZ,000759,中百集团,湖北,超市连锁,19970519
000761.SZ,000761,本钢板材,辽宁,普钢,19980115
000762.SZ,000762,西藏矿业,西藏,小金属,19970708
000766.SZ,000766,通化金马,吉林,化学制药,19970430
000767.SZ,000767,晋控电力,山西,火力发电,19970609
000768.SZ,000768,中航西飞,陕西,航空,19970626
000776.SZ,000776,广发证券,广东,证券,19970611
000777.SZ,000777,中核科技,江苏,机械基件,19970710
000778.SZ,000778,新兴铸管,河北,钢加工,19970606
000779.SZ,000779,甘咨询,甘肃,建筑工程,19970528
000782.SZ,000782,恒申新材,广东,化纤,19970619
000783.SZ,000783,长江证券,湖北,证券,19970731
000785.SZ,000785,居然智家,湖北,百货,19970711
000786.SZ,000786,北新建材,北京,其他建材,19970606
000788.SZ,000788,北大医药,重庆,化学制药,19970616
000789.SZ,000789,万年青,江西,水泥,19970923
000790.SZ,000790,华神科技,四川,中成药,19980327
000791.SZ,000791,甘肃能源,甘肃,水力发电,19971014
000792.SZ,000792,盐湖股份,青海,农药化肥,19970904
000793.SZ,000793,华闻集团,海南,出版业,19970729
000795.SZ,000795,英洛华,浙江,矿物制品,19970808
000796.SZ,000796,凯撒旅业,海南,旅游服务,19970703
000797.SZ,000797,中国武夷,福建,全国地产,19970715
000798.SZ,000798,中水渔业,北京,渔业,19980212
000799.SZ,000799,酒鬼酒,湖南,白酒,19970718
000800.SZ,000800,一汽解放,吉林,汽车整车,19970618
000801.SZ,000801,四川九洲,四川,家用电器,19980506
000802.SZ,000802,北京文化,北京,影视音像,19980108
000803.SZ,000803,山高环能,四川,环境保护,19980303
000807.SZ,000807,云铝股份,云南,铝,19980408
000809.SZ,000809,*ST和展,辽宁,区域地产,19980616
000810.SZ,000810,创维数字,四川,家用电器,19980602
000811.SZ,000811,冰轮环境,山东,工程机械,19980528
000812.SZ,000812,陕西金叶,陕西,广告包装,19980623

